Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
17;infrastructure;;A8:BD:27:D2:60:E3;;6;No;WPA2,AES-CCM;No;260.0;0;25;0;0;0;0;0;;;Mon Jan  8 11:51:53 2024;Mon Jan  8 11:53:15 2024;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;YRDSB-A;A8:BD:27:E9:37:C0;;1;No;WPA2,AES-CCM;No;260.0;0;55;0;0;0;0;0;;;Mon Jan  8 11:51:53 2024;Mon Jan  8 11:53:15 2024;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
19;infrastructure;;A8:BD:27:E9:37:C3;;1;No;WPA2,AES-CCM;No;260.0;0;98;0;0;0;0;0;;;Mon Jan  8 11:51:53 2024;Mon Jan  8 11:53:16 2024;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
20;infrastructure;YRDSB-A;A8:BD:27:E9:3E:40;;1;No;WPA2,AES-CCM;No;260.0;0;49;0;0;0;0;0;;;Mon Jan  8 11:51:53 2024;Mon Jan  8 11:53:15 2024;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
21;infrastructure;YRDSB-A;70:3A:0E:52:07:A0;;11;No;WPA2,AES-CCM;No;260.0;0;75;0;0;0;0;0;;;Mon Jan  8 11:51:54 2024;Mon Jan  8 11:53:13 2024;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
22;infrastructure;YRDSB-Guest;A8:BD:27:E2:EC:A2;;1;No;OPN,None;No;260.0;0;18;0;0;0;0;0;;;Mon Jan  8 11:51:54 2024;Mon Jan  8 11:53:13 2024;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
23;infrastructure;;70:3A:0E:52:07:A3;;11;No;WPA2,AES-CCM;No;260.0;0;85;0;0;0;0;0;;;Mon Jan  8 11:51:55 2024;Mon Jan  8 11:53:15 2024;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
24;infrastructure;YRDSB-A;A8:BD:27:D2:60:E0;;6;No;WPA2,AES-CCM;No;260.0;0;26;0;0;0;0;0;;;Mon Jan  8 11:51:55 2024;Mon Jan  8 11:53:16 2024;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
25;infrastructure;;00:25:00:FF:94:73;;6;No;OPN,None;No;-1.0;0;0;0;2;0;0;2;;;Mon Jan  8 11:51:55 2024;Mon Jan  8 11:53:15 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
26;infrastructure;YRDSB-A;A8:BD:27:E4:4C:80;;11;No;WPA2,AES-CCM;No;260.0;0;44;0;0;0;0;0;;;Mon Jan  8 11:51:56 2024;Mon Jan  8 11:53:15 2024;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
27;infrastructure;YRDSB-Guest;A8:BD:27:E4:4C:82;;11;No;OPN,None;No;260.0;0;40;0;0;0;0;0;;;Mon Jan  8 11:51:56 2024;Mon Jan  8 11:53:13 2024;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
28;infrastructure;;A8:BD:27:E4:4C:83;;11;No;WPA2,AES-CCM;No;260.0;0;45;0;0;0;0;0;;;Mon Jan  8 11:51:56 2024;Mon Jan  8 11:53:15 2024;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
29;infrastructure;;A8:BD:27:E2:EC:A3;;1;No;WPA2,AES-CCM;No;260.0;0;16;0;0;0;0;0;;;Mon Jan  8 11:51:58 2024;Mon Jan  8 11:53:16 2024;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
30;infrastructure;;A8:BD:27:E4:54:A1;;5;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Jan  8 11:51:59 2024;Mon Jan  8 11:53:11 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
