Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
17;infrastructure;YRDSB-A;70:3A:0E:5D:EC:00;;11;No;WPA2,AES-CCM;No;260.0;0;5;0;0;0;0;0;;;Mon Jan  8 11:57:13 2024;Mon Jan  8 11:57:18 2024;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;YRDSB-S;70:3A:0E:5D:EC:01;;11;No;WPA2,AES-CCM;No;260.0;0;6;0;0;0;0;0;;;Mon Jan  8 11:57:13 2024;Mon Jan  8 11:57:18 2024;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
19;infrastructure;YRDSB-S;A8:BD:27:E9:44:61;;11;No;WPA2,AES-CCM;No;260.0;0;16;0;6;0;0;6;;;Mon Jan  8 11:57:13 2024;Mon Jan  8 11:58:44 2024;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
20;infrastructure;YRDSB-A;A8:BD:27:E9:44:60;;11;No;WPA2,AES-CCM;No;260.0;0;13;0;0;0;0;0;;;Mon Jan  8 11:57:14 2024;Mon Jan  8 11:57:40 2024;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
21;infrastructure;YRDSB-Guest;A8:BD:27:E9:44:62;;11;No;OPN,None;No;260.0;0;16;0;0;0;0;0;;;Mon Jan  8 11:57:14 2024;Mon Jan  8 11:57:50 2024;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
22;infrastructure;YRDSB-Guest;70:3A:0E:5D:F9:C2;;1;No;OPN,None;No;260.0;0;75;0;0;0;0;0;;;Mon Jan  8 11:57:14 2024;Mon Jan  8 11:58:25 2024;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
23;infrastructure;;70:3A:0E:5D:F9:C3;;1;No;WPA2,AES-CCM;No;260.0;0;68;0;0;0;0;0;;;Mon Jan  8 11:57:14 2024;Mon Jan  8 11:58:27 2024;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
24;infrastructure;;70:3A:0E:5D:EF:63;;1;No;WPA2,AES-CCM;No;260.0;0;18;0;0;0;0;0;;;Mon Jan  8 11:57:14 2024;Mon Jan  8 11:58:18 2024;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
25;infrastructure;YRDSB-Guest;70:3A:0E:5D:EC:02;;11;No;OPN,None;No;260.0;0;6;0;0;0;0;0;;;Mon Jan  8 11:57:14 2024;Mon Jan  8 11:57:21 2024;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
26;infrastructure;;70:3A:0E:5D:EC:03;;11;No;WPA2,AES-CCM;No;260.0;0;4;0;0;0;0;0;;;Mon Jan  8 11:57:14 2024;Mon Jan  8 11:57:16 2024;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
