LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2024-01-08 11:48:40,1900-01-00 00:00:00,,A8:BD:27:E4:4C:81,-87, ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 11:48:40,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:E4:4C:81,-86, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 11:48:40,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:E4:4C:81,-85, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 11:49:02,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:E4:4C:81,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 11:49:04,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:E4:4C:81,-85, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 11:49:04,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:E4:4C:81,-86, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 11:49:04,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:E4:4C:81,-86, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 11:49:05,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:E4:4C:81,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 11:49:05,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:E4:4C:81,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 11:49:05,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:E4:4C:81,-84, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 11:49:07,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:E4:4C:81,-83, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 11:49:09,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:E4:4C:81,-83, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 11:49:09,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:E4:4C:81,-85, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 11:49:09,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:E4:4C:81,-85, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 11:49:09,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:E4:4C:81,-84, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 11:49:09,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:E4:4C:81,-83, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 11:49:10,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:E4:4C:81,-83, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 11:49:10,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:E4:4C:81,-83, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 11:49:10,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:E4:4C:81,-82, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 11:49:11,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:E4:4C:81,-85, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 11:49:11,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:E4:4C:81,-85, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 11:49:12,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:E4:4C:81,-85, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 11:49:12,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:E4:4C:81,-83, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 11:49:12,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:E4:4C:81,-81, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 11:49:12,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:E4:4C:81,-79, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 11:49:12,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:E4:4C:81,-84, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 11:49:13,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:E4:4C:81,-83, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 11:49:14,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:E4:4C:81,-84, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 11:49:20,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:E4:4C:81,-85, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 11:49:25,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:E4:4C:81,-84, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 11:49:47,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:E4:4C:81,-81, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 11:49:47,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:E4:4C:81,-81, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 11:49:48,1900-01-00 00:00:00,YRDSB-S,A8:BD:27:E4:4C:81,-79, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-08 11:50:27,1900-01-00 00:00:00,,22:B9:DE:49:C0:FF,-79,,0.000000,0.000000,0.000,0.000,Client
2024-01-08 11:50:28,1900-01-00 00:00:00,,22:B9:DE:49:C0:FF,-74,,0.000000,0.000000,0.000,0.000,Client
2024-01-08 11:50:28,1900-01-00 00:00:00,,22:B9:DE:49:C0:FF,-68,,0.000000,0.000000,0.000,0.000,Client
2024-01-08 11:50:30,1900-01-00 00:00:00,,22:B9:DE:49:C0:FF,-73,,0.000000,0.000000,0.000,0.000,Client
2024-01-08 11:50:30,1900-01-00 00:00:00,,22:B9:DE:49:C0:FF,-69,,0.000000,0.000000,0.000,0.000,Client
2024-01-08 11:50:31,1900-01-00 00:00:00,,22:B9:DE:49:C0:FF,-72,,0.000000,0.000000,0.000,0.000,Client
2024-01-08 11:50:31,1900-01-00 00:00:00,,22:B9:DE:49:C0:FF,-74,,0.000000,0.000000,0.000,0.000,Client
2024-01-08 11:50:31,1900-01-00 00:00:00,,22:B9:DE:49:C0:FF,-73,,0.000000,0.000000,0.000,0.000,Client
2024-01-08 11:50:31,1900-01-00 00:00:00,,22:B9:DE:49:C0:FF,-70,,0.000000,0.000000,0.000,0.000,Client
